Lionel Andrés Messi Cuccittini
Nikola Vukcevic
Atiba Hutchinson
Maximiliano Nicol Moralez
Charlie Austin
Robert Kenedy Nunes do Nascimento
Eltildo Lucas Correia Pitta
João Pedro Geraldino dos Santos Galvão
Alessandro Diamanti
Guilherme dos Santos Torres
Jérémy Morel
Fernando Javier Llorente Torres
Gökhan Gönül
Alberto Paloschi
Julio Leonardo Dourado de Freitas
Markel Bergara Larrañaga
Lee Nguyen
Anthony Knockaert
Iñigo Córdoba Kerejeta
Joël Veltman
Nicola Sansone
Arda Turan
Haris Seferovic
Rafael Jorgino Cachoira Rebelo
Amadou Haidara
Francesco Caputo
Manuel Locatelli
Jordan Ayew
Tin Jedvaj
Sofiane Hanni
Andrés Eduardo Fernández Moreno
Thomas Monconduit
Nordi Mukiele
Dominique Heintz
Uílson de Souza Paula Júnior
Aaron  Lennon
Jetro Willems
Miloš Veljkovic
Ishak Belfodil
Hugo Miguel Almeida Costa Lopes
Dale Stephens
Brais Méndez Portela
Adam Smith
José Luis García del Pozo
Francisco Femenía Far
Mijat Gacinovic
Per Ciljan Skjelbred
Da Conceição Fernando Henrique
Scott Brown
Marko Grujic
Adama Soumaoro
Raúl Rodríguez Navas
Ádám Szalai
Amadou Diawara
Lukasz Skorupski
Romain Hamouma
Kevin Stöger
Karol Linetty
Stefan Bell
Alfred John Momar N'Diaye
Yusuf Yazici
Bastian Oczipka
Federico Valverde
Martín Benítez
Michel Vorm
Nampalys Mendy
José Juan Vázquez Gómez
Unai Núñez Gestoso
Nemanja Radoja
Kieran  Gibbs
Abderrazak Hamdallah
Pablo Renan dos Santos
Seko Fofana
Felipe Dias da Silva dal Belo
Carlos Andrés Villanueva Roland
José Márcio da Costa
Diego Rico Salguero
Alberto Moreno Pérez
Jordy Clasie
Rogelio Gabriel Funes Mori
Osvaldo Alonso Moreno
Alexander Djiku
Jonathan Hogg
Dominic Calvert-Lewin
Marvin Zeegelaar
Guido Carrillo
Jozabed Sánchez Ruiz
Alan Javier Franco
David Brooks
Jeffrey Bruma
Luigi Sepe
Sam Vokes
Javier López Rodríguez
Jordan Amavi
Idrissa Mandiang
Alper Potuk
Oliver Norwood
Rani Khedira
Darwin Machís
Robin Quaison
Paul Dummett
Landry Dimata
Allan Norberto Bardini Paneira
Ludovic Butelle
Sebastián Cristóforo
David Jason Remeseiro Salgueiro
Mikel Agu
Emmanuel Badu
Nathan Redmond
Sandro Ranieri Guimarães Cordeiro
Anthony Mounier
Matheus Fellipe Costa Pereira
Christophe Jallet
Diego Castro Giménez
?? ??
Ola  Williams Kamara
Miguel Ângelo da Silva Rocha
Rick Karsdorp
José Carlos Coentrão Marafona
Diego Valdés
Maxime Gonalons
Jorge Franco Alviz
Fredy Alejandro Guarín Vásquez
Mathias Jensen
Ryan Thomas
Bogdan Butko
Luca Cigarini
Ahmed Musa
Mykola Morozyuk
Georgiy Schennikov
André Ramalho Silva
Thomas Foket
Philip Foden
Walace Souza Silva
Irfan Can Kahveci
Jimmy Briand
Diego Rolán
Cyril Théréau
Bruno Valdez
Pape Moussa Konaté
Hugo Ayala Castro
Justin Kluivert
Percy Tau
Javier Eraso Goñi
Artur Boruc
Sam Larsson
Paulo Henrique Soares dos Santos
Jonathan Matías Urretaviscaya da Luz
Youssef Aït Bennasser
Paul Bernardoni
Joshua Brenet
Carles Aleñá Castillo
Thiago Maia Alencar
Robert Skov
Mauricio Aníbal Isla Isla
Weston McKennie
James Tavernier
Samuel Kalu Ojim
Marlon da Silva Barbosa
Joseph Alfred Duncan
Stefano Sturaro
Harry Arter
Vitaliy Buyalskyi
Malang Sarr
Ignacio Fernández
Hans Hateboer
Florian Niederlechner
Pirmin Schwegler
Ben Pearson
Tammy Abraham
Jefferson Moreira Nascimento
Joakim Mæhle
Unai López Cabrera
Ibrahim Amadou
Christian Günter
Ogenyi Eddy Onazi
Jefferson Antonio Montero Vite
Oscar Fabián Murillo Murillo
Borja González Tomás
Lucas Zelarayán
Martin Kelly
Aminu Umar
Joseba Zaldúa Bengoetxea
Mbaye Diagne
Jovane Eduardo Borges Cabral
Scott Dann
Mateo Pavlovic
Andrew Surman
Florian Kainz
Francisco José Beltrán Peinado
Kenneth Vermeer
Andreu Fontàs Prat
Luis Enrique Quiñónes
Mathew Leckie
Danilo das Neves Pinheiro
Solly March
Bryan Dabo
Fredrik Midtsjø
Alejandro Arribas Garrido
Duirval Hélton Diniz Cabral
Ollie Watkins
Renato Tapia
Enzo Pablo Roco Roco
Jonas Svensson
Lucas Alfonso Orbán Alegre
Godfred Donsah
Ladislav Krejcí
Scott Sinclair
Bojan Jokic
Marcus Thuram
Silvio Ezequiel Romero
Christian Atsu
Christian Träsch
Florentin Pogba
Sergio Reguilón Rodríguez
Caio Bruno Milaçar Kenedy
Marc-Oliver Kempf
Daniel Sánchez Ayala
Patrick Roberts
Guillermo Ortíz
Rafal Gikiewicz
Rodrigo Rey
Yasin Öztekin
Daniel João Santos Candeias
Claudio Beauvue
Marcelo dos Santos Ferreira
Steve von Bergen
Joel Obi
Rafael da Conceição Leão
Pedro K. Medina da Silva
Raúl Fernández-Cavada Mateos
?? ??
Patrik Hrošovský
Robert Beric
Nicolás Federico Spolli
Liam Moore
Diego Falcinelli
Jean-Sylvain Claude Babin
Jan Kopic
Matt Besler
Pablo Martinez
Renan Bardini Bressan
Olcay Sahan
Michael Rensing
Kalvin Phillips
Willem Janssen
Eugenio Mena
Amato Ciciretti
Davidson da Luz Pereira
Diogo Filipe Monteiro Pinto Leite
Andrea Raggi
Samuel Grandsir
Damir Kreilach
Alan Ruiz
Iñigo Pérez Soto
Ludovic Lamine Sané
Olívio da Rosa
Gil Bastião Dias
Ángel Mena
Jhon Córdoba
Bruno Écuélé Manga
Nicola Murru
Graeme Shinnie
Jens Stryger Larsen
Aleksandr Erokhin
Luis Robles
Andreas Ulmer
Fabián Castillo
Ilija Nestorovski
Mason Mount
Olarenwaju Ayoba Kayode
Matheus Jadson Vidigal Morais
Paul Verhaegh
Lucas Cavallini
Johannes Geis
Ricky van Wolfswinkel
Kasim Adams Nuhu
Kévin Manuel Rodrigues
Jonás  Ramalho Chimeno
Andrey Semenov
Gaëtan Charbonnier
Luis Carlos Correia Pinto
Erik Pieters
Hannes Wolf
Joseph Aidoo
Nicolás Júlio Formido Paiva
Dimitrios Kourmpelis
Jagoš Vukovic
Jean André Emanuel Beausejour Coliqueo
Matthias Ostrzolek
Jakub Blaszczykowski
Denis Bouanga
Rubén Botta
Darko Lazovic
Lazar  Markovic
Fábio Ricardo Gomes Fonseca
Ruben Alexandre Rocha Lima
??? ??
Eloy Room
Koffi Cheikh Konaté
Rubén Alcaraz Jiménez
Allan Nyom
Yuri Oliveira Ribeiro
Mehmet Ekici
Víctor Ismael Sosa
Lorenzo António Melgarejo Sanabria
William Alves de Oliveira
Matej Vydra
Tiago Manuel Dias Correia
Adrián  González Morales
Çaglar Söyüncü
Kelechi Iheanacho
Marcel Tisserand
Anthony Rubén Lozano Colón
Luca Waldschmidt
Adriano Leandro Soares Taffarel
Sten Michael Grytebust
Ivan Strinic
Pedro Miguel Braga Rebocho
Jerry Mbakogu
Matheus Dória Macedo
Musa Çagiran
Kaiansu Kei Kamara
Stéphane Bahoken
Ben Gibson
José Ignacio Martínez García
Andreas Evald Cornelius
Maxime Le Marchand
Pape Cheikh Diop Gueye
Sener Özbayrakli
Steven Davis
Abdul Rahman Baba
Ervin Zukanovic
El-Hadji Baye Oumar Niasse
Paul-José M'Poku Ebunge
Kevin McDonald
Jesus Fabrício Andrade Simões
Soslan Dzhanaev
Miloš Degenek
Adrien Tameze
Tiago Rafael Maia Silva
Éric Bauthéac
Yoric Ravet
Duško Tošic
Daniele Padelli
Bernard Mensah
Jonathan Ludovic Biabiany
Ivo Ilicevic
Harvey Lewis Barnes
Chidozie Collins Awaziem
Antonio Manuel Luna Rodríguez
Aurélien Chedjou
Djavan da Silva Ferreira
Artem Rebrov
Georg Margreitter
Salvador Sánchez Ponce
Pietro Maurício Mendes Abranches
Marco Russ
Hendrik Van Crombrugge
Abdelaziz Barrada
?? ??
Adam Clayton
Tim Leibold
Vyacheslav Karavaev
Iver Fossum
Daniel Bessa
Nelson Acevedo
Sergiy Rybalka
Giovanni Di Lorenzo
Habib Diallo
Brian Fernández
José María Basanta
Sada Thioub
Che Adams
José Ignacio Peleteiro Ramallo
Enzo Crivelli
Xabier Etxeita Gorritxategi
Daniel Ciofani
Maximiliano Urruti
Gerso Fernandes
Josef Šural
Bersant Celina
Salman Mohammed Al Faraj
Lovro Majer
Jeremiah St. Juste
Miler Alejandro Bolaños Reascos
Roy Krishna
Edoardo Goldaniga
??? ???
Miguel Alfonso Herrero Javaloyas
Álejandro Gallar Falguero
Pablo Insua Blanco
Ignasi Miquel i Pons
Luis Gonzalo Bustamante
Ezequiel Schelotto
Paulo Sérgio Mota
Florian Hübner
André de Castro Pereira
Rodrigo Aliendro
?? ??
Stoppila Sunzu
Yaya Sanogo
?? ??
Sokratis Dioudis
Jehad Fadel Al Hussain
Raúl García Carnero
Sebastián Hernán Bertoli
Jérémy Gélin
Josip Mišic
Fabiano Ribeiro de Freitas
Orel Mangala
Jeremy Toljan
Javier Marcelo Gandolfi
Joe Lewis
Jan Boril
Sam Clucas
Alexander Grünwald
Jakob Bendix Uhd Poulsen
César Jasib Montes Castro
Riccardo Meggiorini
Niko Bungert
Christian Kouamé
Francisco Javier Meza Palma
Ángelo Henríquez
Nélson Miguel Castro Oliveira
Emanuele Terranova
Renaud Emond
Gary Hooper
Luke Anthony Freeman
Luís Miguel Vieira da Silva
Andrea Rispoli
Nicolás Gastón Navarro
Alexander Nahuel Barboza Ullúa
Alexandru Iulian Maxim
Ola John
Alex Smithies
Pablo César Barrientos
Fabián Andrés Rinaudo
Luca Mazzitelli
Eduardo Antônio Machado Teixeira
Giampaolo Pazzini
Abdoulaye Bamba
Arturo Mina
Ibrahima Mbaye
Mahmut Tekdemir
Leonardo Fabián Burián Castro
Michel David Cruceiro Muscato
Ricardo Jorge Vaz Té
Yeison Stiven Gordillo Vargas
Gino Peruzzi
???
Keiren Westwood
Evandro Sérgio Rochedo Paulino
Daniel Pacheco Lobato
Antonio Ríos Martínez
Deniz Kadah
Adama Diakhaby
Juan Carlos Martín Corral
Isaac Success
Salem Al Dawsari
Aras Özbiliz
Geovanni Banguera
Karl-Johan Johnsson
Ugur Demirok
Nana Kwesi Asare
Manuel Pucciarelli
Diego Santiago Fagúndez Pepe
William Troost-Ekong
Paulo José de Oliveira
Juan Marcos Foyth
Martin Linnes
Sérgio Antônio Soler Oliveira Jr
Hélder Filipe Oliveira Lopes
Erik Berg
Rasmus Bengtsson
Fernando Martín Forestieri
Kamil Wilczek
Gojko Cimirot
Ismaël Bennacer
Luca Marrone
Rafik Halliche
Valentín Vada
Yves Bissouma
Rodrigo Salinas Dorantes
?? ?
Édgar Felipe Pardo Castro
Jhon Duque
David Jensen
Julián Omar Ramos Suárez
Darren Randolph
Stefano Sensi
Andrés Ricaurte Vélez
Matías Aguirregaray Guruceaga
João António Antunes Carvalho
Arbër Zeneli
Dario Dainelli
Kian Hansen
Ryan Bennett
??? ???
Valerio Verre
??? ???
Mauro Pierre Cildinho Conradi
Arnaldo Edi Lopes da Silva
Leonardo Nicolás Pisculichi
Yohan Benalouane
Antonino Ragusa
Fabien Lemoine
Cristian Roldan
Didier  Ndong Ibrahim
Vladimír Coufal
Mislav Oršic
Éder Marvin Oliveira Simão
Barry Bannan
Robin Koch
Nicolás Pasquini
Alessandro Rosina
Tim Parker
Marcos G. Santos Matos
Derrick Luckassen
Shaun Hutchinson
Bruno José Pavani Lamas
Alexandru Baluta
Miguel Ángel De las Cuevas Barberá
Leonardo B. Lohner Maia
Daniel Kolár
?? ??
Santiago Montoya
Victor Emanuel Aguilera
?? ?
Ilombe Mboyo
Bruno Vinícius Souza Ramos
Borna Barišic
Wilson Miguéis Manafá Jancó
Christian Nørgaard
George Friend
Davit Khotcholava
Bassem  Srarfi
Romário Ricardo da Silva
Mateus Galiano da Costa
Wes Hoolahan
Ramon Olamilekan Azeez
Michael Frey
Jean-Daniel Akpa Akpro
Joan Isaac Cuenca López
Fábio José Ferreira Pacheco
Gustavo Lucas Domingues Piazon
Timoteo Samuel Triano Branco
Alexander Scholz
Yussif Raman Chibsah
Mark Duffy
Gareth McAuley
Nawaf Shaker Al Abid
Alessandro Nuno Vaz Laranjeiras
Daniele Verde
Pierre-Michel Lasogga
Marlon Pack
Zinedine Ferhat
Chad Marshall
Jean-Christophe Bahebeck
Róger Espinoza Ramírez
Nicolás Iván González
Nuno Miguel Gomes dos Santos
Kasper Kusk Vangsgaard
Eugenio Lamanna
Gilles Sunu
Emil Berggreen
Jonathan Guillermo Nuñez Espinoza
Luciano Aued
???
Marius Valerica Gaman
Jorge Pulido Mayoral
Abbubaker Mobara
Joe Ledley
Ahmet Çalik
Alberto Cerri
??? ???
Christian Gytkjær
??? Kangin Lee
Edigar Junio Teixeira Lima
John Bostock
Sergio Pellissier
Marcus Antonsson
Moise Kean
James  Collins
Nyasha Liberty Mushekwi
Leiton Jiménez
Delvin N’Dinga
Felix Kroos
Mimoun Mahi
Joris van Overeem
Alexander Esswein
Jorge Moreira
Jorge Pietro Carvalho Porfírio
Jair Pereira Rodríguez
Nino Galovic
Hárold Santiago  Mosquera Caicedo
Juan Pablo Nieto Salazar
Claudio Ariel Yacob
Ludovic Ajorque
Hernán Barcos
?? ??
Moussa Doumbia
Gennaro Tutino
Agustín Allione
Germán Lanaro
Walker Zimmerman
Luca Rizzo
Roberto Carlos Gutiérrez Gamboa
Mario Gavranovic
Özer Hurmaci
Andres Tello
Simon Gustafson
Fabio Giovanni Ceravolo
Fabricio Coloccini
Gianluca Curci
Daniel Martins Guimarães
Emil Hallfreðsson
Miiko Martín Albornoz Inola
Juan Ignacio Mercier
Mitchell Glenn Donald
Mickaël Cuisance
Amr Warda
Adama Traoré
Oliver McBurnie
Dankler Luís de Jesus Pedreira
Mauro Daniel Goicoechea Furia
Lucas  Andersen
Chinedu Obasi Ogbuke
Tim Howard
Henok Goitom
Saîf-Eddine Khaoui
Rajiv van La Parra
Adrián Marín Gómez
Lucas Menossi
Josué Humberto Gonçalves Leal Sá
Anastasios Chatzigiovanis
Cristian Enzo Lodeira Araujo
Aleksandar Pantic
Jorge Luis Rojas Meza
Fabian Klos
Cristian Leonel Ramírez Zambrano
John Boye
Maksym Malyshev
Douglas Pereira dos Santos
Kris Boyd
Diego Rodríguez
Mats  Møller Dæhli
Sebastian Polter
Ricardo van Rhijn
Nikola Maraš
Andrés Leandro Castellanos Serrano
André Biyogo Poko
Juan Ferney Otero Tovar
Nicolai Møller Boilesen
Diego Lainez Leyva
Yasser Al Shahrani
Ismaël Tiémoko Diomandé
Dénes Dibusz
Damian Kadzior
Jonathan Pablo Bottinelli
Gareth Barry
Robbie Kruse
Cristian Oscar Bernardi
Ezequiel Ávila
Nemanja Radonjic
Jeff Nazario Meire Costinho
Javier Güemez López
Jordan Jones
David Guzman
Ángel Zaldívar Caviedes
Simon Tibbling
Joshua Eduardo Sá Madeira
Alexis De Sart
William Owusu
Mohamed Aberhoune
Jason Puncheon
Marco Stiepermann
Muhammet Demir
Salvador Sevilla López
Benjamin Kololli
Julian Börner
Ricardo Ryller Ribeiro Lino Silva
Bartosz Bialkowski
Martín Maximiliano Mantovani
Stefan Ortega Moreno
Serdar Gürler
Joe Bennett
Rui Pedro da Rocha Fonte
Ali Adnan
Luis Miguel Sánchez Benítez
Luca Garritano
Adrián Andrés Cubas
Jubal Rocha Mendes Junior
Lebogang Phiri
Thomas Delaine
Jamie Murphy
Alex Martin Frandeira Álvares
Rolando García Guerreño
Ken Sema
José Antonio Reyes Calderón
Izet Hajrovic
Fernando Henrique Boldrin
Diego Arturo Peralta González
Sebastião de Freitas Couto Júnior
Uroš Cosic
Fabio Pisacane
Diego Rossi
Roberto Alvarado
Josh Brownhill
Marlon Javier Piedrahita Londoño
Maikel van der Werff
Dom Dwyer
Gonzalo Bettini
Petar Brlek
M. Vanderlei Paulino Kenedy
Tobias Pereira Figueiredo
Erik Morán Arribas
David Batanero Puigbó
Gerrit Holtmann
Antonio Aldo Caracciolo
Astrit Ajdarevic
??? ???
Aboubakar Kamara
Ayrton Preciado
Milton Nahuel Valenzuela
Edimilson Fernandes
Ledian Memushaj
?? ??
Jakov Filipovic
Akaki Gogia
Dominik Schmidt
Rodrigo Nascimento França
Marvin Friedrich
Tom Schütz
Stanislav Tecl
Danijel Milicevic
Oliver Fink
Amro Tarek Abdel Aziz
Matej Jonjic
Bryan Heynen
João Pedro Maturano dos Santos
Daniel Rosero Valencia
Rafael Antonio Caroca Cordero
Elierce Barbosa de Souza
Kevin Bonifazi
Daniel Williams
Óscar Cabezas
Calvin Stengs
Borja Lasso De La Vega
Rémi Oudin
Ribair Rodríguez Pérez
Jhasmani Campos
Jordan Rhodes
Ivan Šunjic
Rasmus Thelander
Nikola Moro
Mikael Lustig
?? ??
Marco Natanel Torsiglieri
Petar Škuletic
Maximiliano Caire
Cristian David Lucchetti
Benik Afobe
Carlos Alberto Alves Garcia
Jérémie Bela
Maximiliano Ángel Coronel
Ricardo Jorge Oliveira Valente
Jérémy Perbet
Alexander Martín Marquinho Callens Asín
Adriano Facchini
Rui Filipe Caetano Moura
Ariel Mauricio Rojas
Darragh Lenihan
Barrie McKay
Nabil Ghilas
?? ?
Dejan Damjanovic
Frédéric Sammaritano
Vincenzo Fiorillo
Richard Keogh
Matheus Simoneti Bressaneli
Emrah Bassan
Julián Andrés Quiñones Quiñones
Alexis Soto
Harry Novillo
Chris Brunt
David McGoldrick
Karlo Letica
Luis Ricardo Reyes Moreno
Leopold Zingerle
Florian Müller
Robert Tesche
Urby Emanuelson
José Javier Abella Fanjul
Tim Kleindienst
Mustafa Yumlu
Marvin Matip
José Gabriel Sambenito
Smail Prevljak
David von Ballmoos
Anthony Nwakaeme
David Mackalister Silva Mosquera
Ivan Oblyakov
Miguel Ángel Fraga Licona
Bilal Basaçikoglu
Craig Bryson
Darwin Zamir Andrade Marmolejo
Eirik  Ulland Andersen
Harlee Dean
Eduardo José Borges Machado
Erick Germain Aguirre Tafolla
Matías Nahuel Leiva Esquivel
Tiago Alves Sales
Knowledge Musona
Anthony Gonçalves
Marc Torrejón Moya
César Ignacio Pinares Tamayo
Raffaele Pucino
Pablo Edson Barrera Acosta
Jonas Welson Orsi de Meneses
Heltinho Melo Chaves
Bengali-Fodé Koita
Roberto Canella Suárez
Kieran Lee
Ramahlwe Mphahlele
Kevin Müller
Jefferson Cuero Castro
Jed Wallace
Jesús Enrique Sánchez García
Serhou Guirassy
Lumor Agbenyenu
Jack Harrison
Stefan Schwab
Dan Burn
Marcel Correia
Marlion Rômulo Rolim Nascimento
Sven Michel
Pawel Olkowski
Giorgi Loria
Javier Castellano Betancor
Mohamed Fouzair
Cédric Yambéré
Bubacarr Sanneh
Harrison Reed
Fernando Dos Santos Pedro
