Original Name,Player,Wikipedia,Image URL
Niklas Süle,Niklas Süle,https://en.wikipedia.org/wiki/Niklas_S%C3%BCle,
Bruno Miguel Borges Fernandes,Bruno Fernandes,https://en.wikipedia.org/wiki/Bruno_Fernandes,//upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Bruno_Fernandes_Portugal%2C_2018.jpg/220px-Bruno_Fernandes_Portugal%2C_2018.jpg
Alex Nicolao Telles,Alex Telles,https://en.wikipedia.org/wiki/Alex_Telles,//upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Alex_Telles_2021.jpg/220px-Alex_Telles_2021.jpg
José María Giménez de Vargas,José María Giménez,https://en.wikipedia.org/wiki/Jos%C3%A9_Mar%C3%ADa_Gim%C3%A9nez,//upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Jos%C3%A9_Mar%C3%ADa_Gim%C3%A9nez.jpg/220px-Jos%C3%A9_Mar%C3%ADa_Gim%C3%A9nez.jpg
Nabil Fekir,Nabil Fekir,https://en.wikipedia.org/wiki/Nabil_Fekir,//upload.wikimedia.org/wikipedia/commons/9/92/Fekir_2018_%28cropped%292.jpg
Davinson Sánchez,Davinson Sánchez,https://en.wikipedia.org/wiki/Davinson_S%C3%A1nchez,//upload.wikimedia.org/wikipedia/commons/thumb/6/64/FWC_2018_-_Round_of_16_-_COL_v_ENG_-_D_S%C3%A1nchez.jpg/220px-FWC_2018_-_Round_of_16_-_COL_v_ENG_-_D_S%C3%A1nchez.jpg
Marco Asensio Willemsen,Marco Asensio,https://en.wikipedia.org/wiki/Marco_Asensio,//upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Marco_Asensio_2018.jpg/220px-Marco_Asensio_2018.jpg
Ousmane Dembélé,Ousmane Dembélé,https://en.wikipedia.org/wiki/Ousmane_Demb%C3%A9l%C3%A9,//upload.wikimedia.org/wikipedia/commons/thumb/7/77/Ousmane_Demb%C3%A9l%C3%A9_2018.jpg/220px-Ousmane_Demb%C3%A9l%C3%A9_2018.jpg
Andrés Iniesta Luján,Andrés Iniesta,https://en.wikipedia.org/wiki/Andr%C3%A9s_Iniesta,//upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Andr%C3%A9s_Iniesta_%28cropped%29.jpg/220px-Andr%C3%A9s_Iniesta_%28cropped%29.jpg
Zlatan Ibrahimovic,Zlatan Ibrahimović,https://en.wikipedia.org/wiki/Zlatan_Ibrahimovi%C4%87,//upload.wikimedia.org/wikipedia/commons/thumb/0/09/Zlatan_Ibrahimovi%C4%87_June_2018.jpg/220px-Zlatan_Ibrahimovi%C4%87_June_2018.jpg
Edin Višca,Edin Višća,https://en.wikipedia.org/wiki/Edin_Vi%C5%A1%C4%87a,//upload.wikimedia.org/wikipedia/commons/thumb/5/51/Visca%2714.JPG/220px-Visca%2714.JPG
Serge Gnabry,Serge Gnabry,https://en.wikipedia.org/wiki/Serge_Gnabry,//upload.wikimedia.org/wikipedia/commons/thumb/5/54/2019-06-11_Fu%C3%9Fball%2C_M%C3%A4nner%2C_L%C3%A4nderspiel%2C_Deutschland-Estland_StP_2075_LR10_by_Stepro.jpg/220px-2019-06-11_Fu%C3%9Fball%2C_M%C3%A4nner%2C_L%C3%A4nderspiel%2C_Deutschland-Estland_StP_2075_LR10_by_Stepro.jpg
Mateo Kovacic,Mateo Kovačić,https://en.wikipedia.org/wiki/Mateo_Kova%C4%8Di%C4%87,//upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Chelsea_vs._Arsenal%2C_29_May_2019_18_Kovacic.jpg/220px-Chelsea_vs._Arsenal%2C_29_May_2019_18_Kovacic.jpg
William Silva de Carvalho,William Carvalho,https://en.wikipedia.org/wiki/William_Carvalho,//upload.wikimedia.org/wikipedia/commons/thumb/a/a6/William_Carvalho.jpg/220px-William_Carvalho.jpg
